"KEY","VALUE"
"Adidas","ADI"
"Andro","AND"
"Asics","ASI"
"Avalox","AVA"
"Barna","BAR"
"Bomb","BOM"
"Butterfly","BTY"
"Carlton","CAR"
"Cartlon","CAR"
"Cornilleau","COR"
"CTT","CTT"
"Dawei","DAW"
"Der Materialspezialist","DMS"
"Desaka","DES"
"Desaka s.r.o.","DES"
"DHS","DHS"
"Dingo Swiss","DIN"
"Donic","DON"
"Dr. Neubauer","DRN"
"Friendship","FRI"
"Gambler","GAM"
"Gewo","GEW"
"Giant Dragon","GIA"
"Globe","GLO"
"Hallmark","HAL"
"Hanno","HAN"
"Joola","JOO"
"Juic","JUI"
"Kokutaku","KOK"
"KTL","KTL"
"Lear","LEA"
"Lion","LIO"
"Milky Way","MLW"
"Mizuno","MIZ"
"Nexy","NEX"
"Nittaku","NIT"
"Palio","PAL"
"PimplePark","PIM"
"Sanwei","SAN"
"Sauer&Troeger","SAU"
"Schildkröt","SCH"
"Spinlord","SPI"
"SpinWay","SPW"
"Stiga","STI"
"Sword","SWO"
"Tibhar","TIB"
"TSP","TSP"
"Tuning","TUN"
"Turnier","TUR"
"Tuttle","TUT"
"Victas","VIC"
"Xiom","XIO"
"Xushaofa","XUS"
"Yasaka","YAS"
"Armstrong","ARM"
"Double Fish","DBF"
"FastPong","FPG"
