"KEY","VALUE"
"potah Andro Blowfish","Blowfish"
"Potah Nittaku Best Anti","Best Anti"
"potah Andro Bype","Bype"
"potah Andro Bype SFX","Bype SFX"
"dřevo Andro Gauzy HL CO OFF","Gauzy HL CO OFF"
"dřevo Andro Gauzy SL OFF","Gauzy SL OFF"
"potah Andro Hexer Grip","Hexer Grip"
"potah Andro Hexer Grip SFX","Hexer Grip SFX"
"potah Andro Hexer Powergrip","Hexer Powergrip"
"potah Andro Hexer Powergrip SFX","Hexer Powergrip SFX"
"potah Andro Hexer Powersponge","Hexer Powersponge"
"dřevo Andro Performance","Performance"
"potah Andro Plaxon 350","Plaxon 350"
"potah Andro Plaxon 400","Plaxon 400"
"potah Andro Power 3","Power 3"
"potah Andro Rasant Chaos","Rasant Chaos"
"potah Andro Rasanter C45","Rasanter C45"
"potah Andro Rasanter C48","Rasanter C48"
"potah Andro Rasanter C53","Rasanter C53"
"potah Andro Rasanter R37","Rasanter R37"
"potah Andro Rasanter R42","Rasanter R42"
"potah Andro Rasanter R45","Rasanter R45"
"potah Andro Rasanter R47","Rasanter R47"
"potah Andro Rasanter R48","Rasanter R48"
"potah Andro Rasanter R50","Rasanter R50"
"potah Andro Rasanter R53","Rasanter R53"
"potah Andro Rasanter V42","Rasanter V42"
"potah Andro Rasanter V47","Rasanter V47"
"potah Andro Shifter","Shifter"
"dřevo Andro Timber 5 All/s","Timber 5 ALL/S"
"dřevo Andro Treiber FO Off/s","Treiber FO OFF/S"
"dřevo Andro Treiber FI OFF","Treiber FI OFF"
"Balíček karet Balíček Karet",""
"dřevo Barna Champion","Champion"
"potah Barna Classic Defence","Classic Defence"
"potah Barna Extra Spin","Extra Spin"
"potah Barna Half Long","Half Long"
"potah Barna Legend Classic","Legend Classic"
"potah Barna Legend Fire","Legend Fire"
"potah Barna Legend Long","Legend Long"
"potah Barna Original Anti","Original Anti"
"potah Barna Spin Trick","Spin Trick"
"potah Barna Super Glanti","Super Glanti"
"potah Barna Super Glanti Soft","Super Glanti Soft"
"dřevo Barna Triumph","Triumph"
"dřevo Barna Victory","Victory"
"dřevo Barna Winner","Winner"
"potah Barna Original Turbulent","Original Turbulent"
"potah Bomb Talent","Talent"
"potah Butterfly Aibiss","Aibiss"
"potah Butterfly Bryce Highspeed","Bryce Highspeed"
"potah Butterfly Challenger Attack","Challenger Attack"
"Čistič Butterfly Combi Cleaner New","Combi Cleaner New"
"potah Butterfly Dignics 05","Dignics 05"
"potah Butterfly Dignics 09C","Dignics 09C"
"potah Butterfly Dignics 64","Dignics 64"
"dřevo Butterfly Diode V","Diode V"
"síťka Butterfly Elite","Elite"
